version,tstamp,name,mean,stddev,median,user,system,min,max,recs_per_sec
5.0.3,2025-05-22-15,apply_calcconv,1.6206861526666667,0.0028683743575106005,1.620473541,3.3590286666666667,0.146956,1.61793,1.623654917,616903
5.0.3,2025-05-22-15,apply_dynfmt,1.866316,0.021532195413206247,1.858873,6.1597816666666665,0.13244,1.84949275,1.89058225,535906
5.0.3,2025-05-22-15,apply_emptyreplace,1.514978777666667,0.002808002667190633,1.5161152910000002,2.2481996666666664,0.14623699999999998,1.511780667,1.517040375,660066
5.0.3,2025-05-22-15,apply_op_eudex,1.4395599860000001,0.001106412685534997,1.4391883330000002,1.627778,0.13197666666666666,1.43868725,1.440804375,694444
5.0.3,2025-05-22-15,apply_op_sentiment,3.7609531943333336,0.02657191823653868,3.74884175,25.582458666666668,0.13951766666666668,3.7425947500000003,3.791423083,265887
5.0.3,2025-05-22-15,apply_op_similarity,1.433115417,0.0018601778310525009,1.43403925,1.7395356666666666,0.11472299999999998,1.430974167,1.4343328340000001,697837
5.0.3,2025-05-22-15,apply_op_similarity_batchall,1.4326206806666668,0.0015527762867072995,1.432307167,1.7372543333333332,0.11453399999999998,1.431248583,1.434306292,697837
5.0.3,2025-05-22-15,apply_op_string,1.5135419166666668,0.0018356894268155548,1.512700083,2.2574243333333333,0.14561666666666667,1.512278125,1.515647542,660502
5.0.3,2025-05-22-15,behead,0.8507129723333334,0.004619307211541858,0.8519798340000001,0.8029343333333333,0.04432933333333333,0.845592416,0.8545666670000001,1175088
5.0.3,2025-05-22-15,behead_flexible,0.846109375,0.0006364340799855195,0.846199542,0.8026459999999999,0.03996033333333333,0.845432666,0.846695917,1182033
5.0.3,2025-05-22-15,cat_columns,2.499341417,0.006403524806806643,2.50290225,2.403942333333333,0.09171433333333334,2.491948917,2.503173084,400160
5.0.3,2025-05-22-15,cat_rows,1.6923147083333336,0.0006670605421469607,1.692069709,1.60002,0.08862733333333334,1.691804791,1.6930696250000001,591017
5.0.3,2025-05-22-15,cat_rows_flexible,1.6881796806666667,0.003099904573135423,1.6865364170000001,1.5966173333333333,0.08802333333333334,1.686247375,1.69175525,592417
5.0.3,2025-05-22-15,cat_rowskey,3.6093703746666663,0.48312825965715683,3.4572685,3.2693179999999997,0.10107866666666666,3.220596958,4.150245666,277085
5.0.3,2025-05-22-15,count,0.5030491806666667,0.0023966459614322027,0.502633208,0.4543833333333333,0.04838833333333333,0.5008877500000001,0.505626584,1988072
5.0.3,2025-05-22-15,count_flexible,0.46092151366666667,0.002259969697124585,0.460317625,0.41467699999999996,0.04274566666666666,0.459024833,0.46342208300000004,2169197
5.0.3,2025-05-22-15,count_index,0.008861041666666666,0.0003472694731765717,0.008819208,0.005210333333333333,0.0019920000000000003,0.008536584,0.009227333,111111111
5.0.3,2025-05-22-15,count_no_polars,0.460566389,0.0003636854072725226,0.46065675,0.414387,0.04250166666666667,0.46016604200000005,0.460876375,2169197
5.0.3,2025-05-22-15,count_polars_lowmem,0.5004965693333334,0.0004633464098774851,0.500379,0.452834,0.04740533333333333,0.500103333,0.501007375,2000000
5.0.3,2025-05-22-15,count_width,0.46806858333333334,0.0012069631597929316,0.46780604200000003,0.43436,0.050632666666666666,0.46701450000000005,0.46938520800000005,2136752
5.0.3,2025-05-22-15,count_width_index,0.4792140693333334,0.0006091187684239827,0.47915720800000006,0.4459653333333333,0.05096833333333333,0.47863537500000003,0.47984962500000006,2087683
5.0.3,2025-05-22-15,datefmt,1.6814561666666668,0.002913304832960432,1.681610167,4.510677666666666,0.133631,1.678468916,1.684289417,594884
5.0.3,2025-05-22-15,datefmt_formatstr_newcol,1.5901903473333334,0.0038936483663521634,1.5907873750000001,3.646126333333333,0.11048766666666665,1.586032667,1.5937510000000001,628931
5.0.3,2025-05-22-15,datefmt_multi,2.0640091946666668,0.0028808587452049503,2.064744042,8.961711999999999,0.12436766666666665,2.060832083,2.066451459,484496
5.0.3,2025-05-22-15,datefmt_multi_batchall,2.082939902666667,0.023865221081993456,2.070414,8.977222666666666,0.13185666666666665,2.0679455,2.110460208,480077
5.0.3,2025-05-22-15,datefmt_multi_select,2.3137066249999996,0.0006308684614283337,2.31342225,11.714751666666665,0.13557833333333333,2.313268,2.314429625,432152
5.0.3,2025-05-22-15,dedup,1.258630903,0.009159367252301511,1.260193291,2.0774993333333334,0.12926,1.248790834,1.266908584,794281
5.0.3,2025-05-22-15,dedup_sorted,0.9685006386666667,0.0024508101054445497,0.9689939160000001,0.9032836666666667,0.10979066666666666,0.9658407080000001,0.970667292,1031992
5.0.3,2025-05-22-15,diff,2.4761285833333333,0.016422760078590847,2.475924875,3.9424186666666663,0.19789266666666663,2.459808625,2.49265225,403877
5.0.3,2025-05-22-15,enum,1.0898524303333332,0.27504653063814277,0.9408965410000001,0.8541356666666666,0.06676233333333333,0.92141125,1.4072495,917431
5.0.3,2025-05-22-15,enum_constant,0.861880431,0.00009669798324165033,0.8619312920000001,0.8146676666666667,0.04425266666666666,0.861768917,0.861941084,1160093
5.0.3,2025-05-22-15,enum_copy,0.8786430973333333,0.0027287002662092215,0.8774659170000001,0.8293879999999999,0.04604833333333333,0.8767005830000001,0.8817627920000001,1137656
5.0.3,2025-05-22-15,enum_hash,1.452605875,0.014084399855280257,1.444978667,1.4057933333333335,0.042763666666666665,1.443980042,1.468858916,688231
5.0.3,2025-05-22-15,enum_uuid,1.786197402666667,0.001555325823676919,1.786861625,0.921067,0.861709,1.7844202500000002,1.7873103330000002,559910
